"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"
"-10690"	"1"	"11871"	"F1"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw"	"06/19/2021 23:44:01"	"0.00 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11872"	"F2"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_3.raw"	"06/20/2021 17:41:16"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11873"	"F3"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_4.raw"	"06/22/2021 04:32:54"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11874"	"F4"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_5.raw"	"06/22/2021 22:31:07"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11875"	"F5"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_6.raw"	"06/23/2021 16:29:12"	"0.07 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11876"	"F6"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_7.raw"	"06/24/2021 10:27:05"	"0.07 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11877"	"F7"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_8.raw"	"06/25/2021 22:09:05"	"0.00 - 106.66"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11878"	"F8"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_9.raw"	"06/26/2021 16:23:09"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11879"	"F9"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_10.raw"	"06/27/2021 10:20:17"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10690"	"1"	"11880"	"F10"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_11.raw"	"07/05/2021 20:54:35"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
