File Name	Plate	Sample
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_3.raw	1	21
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_4.raw	2	3
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_5.raw	2	9
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_6.raw	2	15
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_7.raw	2	21
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_8.raw	3	3
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_9.raw	3	9
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_10.raw	3	15
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_11.raw	3	21
