"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD34","CD38","7-AAD","IdxCol","IdxRow","Time"
471,249,484,288,159,464,243,446,356,85,939,0
398,237,431,301,163,472,250,236,251,122,939,4
385,242,407,174,105,422,250,565,439,160,939,6
378,237,409,293,171,438,244,286,270,197,939,10
416,253,421,235,147,411,544,556,371,234,939,12
393,258,389,121,76,406,412,584,374,271,939,16
577,283,522,263,130,519,323,600,414,308,939,19
420,250,430,148,83,453,326,668,451,345,939,23
477,283,431,167,94,453,325,619,437,382,939,25
357,230,398,291,176,422,306,277,369,419,939,28
486,275,453,279,154,464,292,266,261,456,939,30
460,249,473,365,188,496,299,273,292,493,939,33
461,265,444,336,188,457,328,273,274,531,939,36
466,268,445,226,129,450,306,266,302,568,939,39
499,258,495,312,180,442,294,284,255,531,882,45
498,269,474,286,148,495,298,278,292,493,882,48
450,233,493,278,155,459,394,265,349,456,882,50
405,251,412,317,182,447,300,275,305,419,882,53
494,257,492,193,106,465,337,622,460,382,882,56
483,267,463,214,121,452,316,549,364,345,882,59
415,249,427,234,136,438,428,622,401,308,882,63
393,255,394,192,114,431,521,578,419,271,882,66
410,231,455,218,119,467,390,589,423,234,882,71
394,263,383,138,92,383,238,591,389,197,882,74
376,249,387,102,65,401,253,291,269,160,882,76
332,227,375,221,142,398,245,279,276,122,882,79
389,230,433,295,178,425,250,491,335,85,882,82
377,258,375,148,92,411,248,507,331,85,825,85
362,237,391,112,66,433,242,461,313,122,825,88
394,263,384,143,94,389,234,573,372,160,825,91
431,263,420,260,168,396,270,517,357,197,825,94
364,238,392,123,77,410,379,652,461,234,825,97
392,232,433,145,103,359,353,625,431,271,825,101
406,252,412,110,67,422,414,594,396,308,825,105
483,279,442,193,112,442,335,648,465,345,825,108
476,267,456,131,66,509,351,631,436,382,825,111
370,251,377,181,116,401,324,253,296,419,825,114
392,237,424,244,144,435,296,260,246,456,825,117
353,233,388,259,150,443,292,257,258,493,825,120
429,265,415,232,134,443,346,240,283,531,825,123
505,268,482,228,125,468,309,260,254,568,825,125
333,210,406,225,130,443,310,266,298,568,768,129
