"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"
"-10703"	"1"	"11848"	"F1"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw"	"06/20/2021 05:06:50"	"0.00 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11849"	"F2"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_4.raw"	"06/22/2021 09:55:58"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11850"	"F3"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_5.raw"	"06/23/2021 03:53:58"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11851"	"F4"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_6.raw"	"06/23/2021 21:52:13"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11852"	"F5"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_7.raw"	"06/24/2021 15:49:43"	"0.00 - 127.04"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11853"	"F6"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_8.raw"	"06/26/2021 03:49:02"	"0.00 - 127.04"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11854"	"F7"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_9.raw"	"06/26/2021 21:46:09"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11855"	"F8"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_10.raw"	"06/27/2021 15:43:18"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10703"	"1"	"11856"	"F9"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_11.raw"	"07/06/2021 12:45:43"	"0.07 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
