"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"
"-10669"	"1"	"11837"	"F1"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw"	"06/20/2021 02:25:25"	"0.00 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11838"	"F2"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw"	"06/22/2021 07:14:26"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11839"	"F3"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_5.raw"	"06/23/2021 01:12:32"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11840"	"F4"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_6.raw"	"06/23/2021 19:10:47"	"0.00 - 127.04"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11841"	"F5"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_7.raw"	"06/24/2021 13:08:29"	"0.00 - 126.99"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11842"	"F6"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_8.raw"	"06/26/2021 01:07:49"	"0.07 - 126.99"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11843"	"F7"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_9.raw"	"06/26/2021 19:04:32"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11844"	"F8"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_10.raw"	"06/27/2021 13:01:47"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10669"	"1"	"11845"	"F9"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_11.raw"	"07/05/2021 23:36:10"	"0.00 - 127.04"	"Orbitrap Eclipse"	"3.4.3072.18"
