FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Column	Row	Time	Well
402	253	407	237	150	404	247	276	242	1	A	3.01366	A1
402	259	398	176	109	412	250	367	292	2	A	3.29483	A2
373	215	444	378	218	445	253	258	340	3	A	3.62071	A3
418	258	415	255	152	429	239	479	355	4	A	3.88974	A4
425	249	438	239	145	422	534	626	463	5	A	4.249630000000001	A5
452	262	442	248	140	454	317	595	413	6	A	4.5322	A6
456	249	469	273	145	481	480	639	441	7	A	4.83213	A7
475	254	480	289	142	520	318	577	386	8	A	5.39869	A8
486	269	463	282	151	479	318	544	385	9	A	5.6996	A9
385	230	428	278	168	424	304	295	316	10	A	5.92236	A10
450	272	423	249	147	434	312	270	221	11	A	6.177569999999999	A11
511	277	472	361	182	509	308	284	379	12	A	6.44942	A12
426	260	420	289	165	448	293	267	300	13	A	6.78843	A13
399	244	419	387	243	407	306	251	285	14	A	7.1037300000000005	A14
358	224	409	281	172	417	300	262	271	14	B	7.3932199999999995	B14
383	237	413	290	161	460	327	260	301	13	B	7.66	B13
416	251	424	281	151	476	341	258	287	12	B	7.990539999999999	B12
469	262	457	293	150	501	300	243	252	11	B	8.27283	B11
392	236	425	294	174	432	295	267	306	10	B	8.53537	B10
462	250	474	229	124	473	444	624	442	9	B	8.78225	B9
465	268	444	269	132	523	500	646	457	8	B	9.03817	B8
367	244	385	146	91	410	349	599	393	7	B	9.357560000000001	B7
403	260	398	188	127	379	509	585	379	6	B	9.7403	B6
397	252	403	185	118	402	457	588	447	5	B	10.1204	B5
416	256	416	218	131	426	236	641	464	4	B	10.4098	B4
521	273	488	294	150	500	232	632	421	3	B	10.6792	B3
429	265	414	173	108	412	263	640	433	2	B	11.0046	B2
436	260	430	210	128	420	252	433	280	1	B	11.2715	B1
341	219	398	278	166	427	254	404	317	1	C	11.5396	C1
493	272	465	301	161	477	249	419	281	2	C	11.8088	C2
359	245	375	159	103	396	242	330	286	3	C	12.1328	C3
467	261	458	289	158	470	250	549	368	4	C	12.4018	C4
389	259	385	144	92	402	313	623	465	5	C	12.7197	C5
472	260	465	295	177	426	678	550	450	6	C	13.094000000000001	C6
404	243	424	181	104	448	511	620	442	7	C	13.397	C7
