FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Column	Row	Time	Well
481	274	450	225	126	458	314	581	428	8	C	13.7696	C8
401	265	388	164	103	406	342	555	370	9	C	14.1603	C9
402	240	429	250	153	418	295	290	256	10	C	14.4586	C10
452	232	498	352	179	504	413	274	320	11	C	14.73	C11
393	237	425	309	178	445	364	253	303	12	C	15.0503	C12
390	235	425	305	189	413	345	247	370	13	C	15.3183	C13
391	234	427	352	194	466	322	251	274	14	C	15.6019	C14
395	210	483	271	141	494	335	248	259	14	D	15.8873	D14
410	236	444	336	179	481	305	263	255	13	D	16.2083	D13
422	253	427	312	173	462	462	256	327	12	D	16.4771	D12
423	254	427	301	161	477	305	253	344	11	D	16.8233	D11
366	217	432	298	167	456	352	276	331	10	D	17.1049	D10
355	236	385	171	108	404	430	606	439	9	D	17.4979	D9
384	257	383	178	107	428	384	548	397	8	D	17.8507	D8
427	268	407	215	130	425	459	552	354	7	D	18.1843	D7
468	251	477	317	179	453	404	570	369	6	D	18.8538	D6
463	266	446	265	156	436	431	602	398	5	D	19.1996	D5
390	253	394	147	89	424	265	326	261	4	D	19.4256	D4
374	251	382	230	138	425	251	316	253	3	D	19.6945	D3
392	255	394	199	122	419	247	509	412	2	D	20.0205	D2
442	234	484	281	155	463	251	514	343	1	D	20.2868	D1
375	255	376	140	95	377	251	492	281	1	E	20.555999999999997	E1
412	252	419	202	120	431	246	520	359	2	E	20.828000000000003	E2
441	257	440	333	188	454	265	458	356	3	E	21.0917	E3
369	242	391	177	112	404	246	467	369	4	E	21.3609	E4
366	244	384	172	111	397	473	632	458	5	E	21.6169	E5
398	232	439	221	132	428	478	661	442	6	E	21.9087	E6
454	263	442	263	147	458	552	609	445	7	E	22.2454	E7
454	255	456	189	108	445	462	636	468	8	E	22.5833	E8
410	224	468	331	189	449	315	583	459	9	E	23.1558	E9
477	269	454	365	181	518	307	293	434	10	E	23.4114	E10
395	254	398	231	130	453	318	256	261	11	E	23.6965	E11
423	243	446	374	212	451	354	255	310	12	E	24.0101	E12
392	245	409	262	153	438	300	250	286	13	E	24.2753	E13
398	233	437	282	177	406	326	251	436	14	E	24.5442	E14
418	257	417	358	207	442	295	261	313	14	F	24.8746	F14
354	219	412	290	184	404	333	278	273	13	F	25.1513	F13
393	244	412	361	193	480	382	287	382	12	F	25.4326	F12
413	255	415	277	169	420	305	260	293	11	F	25.7683	F11
321	211	391	217	133	417	309	252	249	10	F	26.0491	F10
394	239	422	176	113	398	488	622	432	9	F	26.4844	F9
432	265	417	192	112	439	369	583	400	8	F	26.897	F8
460	264	446	238	126	482	502	550	413	7	F	27.191	F7
437	239	467	177	95	478	443	583	393	6	F	27.4974	F6
470	258	466	293	180	416	538	604	427	5	F	27.8577	F5
385	229	431	295	172	438	225	487	353	4	F	28.1236	F4
375	236	407	203	126	412	249	557	366	3	F	28.3928	F3
385	243	405	242	139	445	240	258	251	2	F	28.6612	F2
343	244	360	163	105	399	248	395	312	1	F	28.9292	F1
340	239	364	175	114	395	245	298	263	1	G	29.2566	G1
329	225	375	186	117	407	245	242	257	2	G	29.5217	G2
391	255	392	136	81	428	249	454	274	3	G	29.8474	G3
380	255	382	215	139	397	231	308	304	4	G	30.1153	G4
454	267	435	244	143	438	633	553	424	5	G	30.516	G5
382	245	399	188	127	378	330	646	456	6	G	30.8749	G6
411	262	401	184	113	419	338	574	363	7	G	31.1447	G7
406	261	398	199	115	445	626	556	410	8	G	31.421	G8
457	245	478	258	149	445	383	547	387	9	G	31.7679	G9
452	252	460	368	193	488	299	266	265	10	G	32.004	G10
388	234	424	301	186	415	296	262	324	11	G	32.3096	G11
382	224	436	316	173	467	321	261	244	12	G	32.6358	G12
450	253	454	336	176	490	312	253	230	13	G	32.9186	G13
491	265	474	326	173	482	335	248	281	14	G	33.2562	G14
420	255	421	329	212	397	365	264	335	14	H	33.5446	H14
458	259	453	307	153	514	298	267	263	13	H	33.806	H13
459	267	440	289	149	497	334	292	319	12	H	34.1371	H12
401	241	427	316	178	455	304	263	278	11	H	34.3984	H11
484	252	492	358	182	502	351	263	330	10	H	34.6739	H10
371	240	396	175	106	424	335	599	405	9	H	34.9044	H9
359	250	367	142	90	402	319	561	344	8	H	35.2884	H8
470	270	447	249	139	460	404	614	441	7	H	35.5951	H7
394	240	421	188	112	429	339	567	378	6	H	36.0045	H6
415	257	413	212	121	447	592	598	423	5	H	36.3938	H5
400	252	406	232	140	424	236	239	269	4	H	36.6814	H4
366	236	398	224	133	430	261	296	275	3	H	36.9493	H3
390	253	395	214	137	401	245	407	302	2	H	37.2773	H2
395	241	420	310	187	426	242	586	425	1	H	37.5423	H1
413	269	393	166	103	411	244	378	258	1	I	37.8113	I1
408	245	426	284	154	472	252	259	228	2	I	38.1367	I2
324	221	375	266	180	378	241	270	279	3	I	38.4031	I3
340	228	382	201	128	401	242	418	297	4	I	38.671	I4
372	244	391	171	109	401	354	590	400	5	I	38.9956	I5
488	265	473	275	137	513	336	565	398	6	I	39.3342	I6
397	244	417	206	124	426	555	605	444	7	I	39.6649	I7
434	259	428	275	143	492	531	544	366	8	I	40.0471	I8
350	220	407	160	112	365	374	610	429	9	I	40.3413	I9
492	265	476	365	199	470	381	270	308	10	I	40.5968	I10
335	216	397	279	174	410	339	250	322	11	I	40.891999999999996	I11
405	258	402	287	164	448	294	283	246	12	I	41.1807	I12
521	275	486	309	162	488	327	251	243	13	I	41.5058	I13
428	247	445	309	179	443	376	252	274	14	I	41.7834	I14
376	239	402	284	161	452	302	279	288	14	J	42.0609	J14
400	226	453	267	142	481	297	263	291	13	J	42.3218	J13
389	240	415	293	154	487	309	271	269	12	J	42.5904	J12
443	261	435	280	157	458	343	275	262	11	J	42.8876	J11
388	240	414	331	199	426	304	263	241	10	J	43.2127	J10
419	233	460	253	146	443	314	562	418	9	J	43.4935	J9
366	248	379	186	121	393	575	592	437	8	J	43.8222	J8
381	236	413	218	136	409	437	626	457	7	J	44.1511	J7
400	253	404	195	118	422	314	565	390	6	J	44.4402	J6
527	274	492	314	159	505	336	558	416	5	J	44.8593	J5
386	253	390	231	138	430	249	260	300	4	J	45.1045	J4
410	260	403	284	174	417	233	574	416	3	J	45.3724	J3
344	225	391	241	148	417	250	258	310	2	J	45.6375	J2
347	243	366	199	133	384	238	255	224	1	J	45.9065	J1
371	243	391	156	98	407	236	445	350	1	K	46.1755	K1
390	240	415	237	139	437	239	271	259	2	K	46.5023	K2
409	246	425	262	154	436	254	404	236	3	K	46.7685	K3
370	247	383	184	111	424	235	283	224	4	K	47.0427	K4
477	269	453	255	145	449	535	650	466	5	K	47.3304	K5
376	209	461	313	174	460	552	631	463	6	K	47.6568	K6
415	262	404	190	113	429	518	560	377	7	K	47.9322	K7
327	225	373	175	115	389	531	657	471	8	K	48.2465	K8
414	256	415	187	109	441	421	557	368	9	K	48.5559	K9
355	214	426	367	198	475	327	257	224	10	K	48.7791	K10
379	218	446	276	162	435	358	266	320	11	K	49.0478	K11
405	240	432	286	159	461	310	258	268	12	K	49.3208	K12
426	238	459	237	123	494	354	261	302	13	K	49.6106	K13
401	243	423	249	151	423	330	263	277	14	K	49.915	K14
394	238	424	241	138	446	317	271	262	14	L	50.1966	L14
362	241	385	252	168	383	365	248	299	13	L	50.4685	L13
439	232	484	360	200	460	379	281	358	12	L	50.7283	L12
416	255	418	298	164	465	349	266	214	11	L	50.9914	L11
417	260	412	311	190	419	312	283	356	10	L	51.2524	L10
392	248	405	150	91	422	537	551	378	9	L	51.4842	L9
505	258	501	340	164	532	626	593	452	8	L	51.7523	L8
394	238	423	205	124	423	328	624	447	7	L	52.0756	L7
445	253	451	249	139	456	342	681	465	6	L	52.5302	L6
471	259	466	273	156	448	374	661	466	5	L	52.8694	L5
422	236	457	281	154	467	253	624	461	4	L	53.1579	L4
393	263	383	171	95	459	234	321	275	3	L	53.4285	L3
399	241	423	294	168	449	262	333	259	2	L	53.6919	L2
389	251	397	194	122	408	249	299	269	1	L	53.9597	L1
418	232	461	268	148	463	243	577	389	1	M	54.2853	M1
349	245	365	187	118	406	234	411	293	2	M	54.5526	M2
433	238	466	362	208	445	236	242	303	3	M	54.8832	M3
418	255	421	280	148	483	263	255	241	4	M	55.1468	M4
416	256	417	234	145	411	535	543	347	5	M	55.4729	M5
516	266	497	318	155	527	413	567	423	6	M	55.8655	M6
449	249	461	176	94	481	318	657	454	7	M	56.1723	M7
494	253	499	339	180	482	371	623	434	8	M	56.5522	M8
433	261	424	257	161	408	565	628	446	9	M	56.8457	M9
384	227	433	213	144	379	381	252	306	10	M	57.0628	M10
360	213	433	370	223	426	331	257	282	11	M	57.338	M11
379	248	391	282	168	430	294	266	273	12	M	57.6028	M12
405	255	406	270	161	430	326	266	293	13	M	57.8926	M13
378	230	419	283	164	442	296	253	266	14	M	58.1649	M14
433	250	443	357	192	476	348	294	306	14	N	58.4288	N14
464	272	437	242	127	486	316	259	274	13	N	58.73	N13
505	276	468	360	187	493	307	280	248	12	N	59.0191	N12
419	254	421	306	165	474	313	257	272	11	N	59.3531	N11
343	244	361	158	110	365	295	282	218	10	N	59.638000000000005	N10
482	249	496	282	157	459	326	593	421	9	N	59.9658	N9
387	257	385	205	130	401	488	582	401	8	N	60.3525	N8
382	237	413	196	122	412	325	614	418	7	N	60.6958	N7
422	263	410	162	91	457	378	612	433	6	N	61.0279	N6
344	236	373	163	108	387	379	574	379	5	N	61.3269	N5
378	252	385	191	110	444	253	299	285	4	N	61.5981	N4
361	236	391	196	129	390	248	243	220	3	N	61.8677	N3
425	255	427	296	178	426	238	260	296	2	N	62.1948	N2
392	240	419	270	159	433	247	253	256	1	N	62.4598	N1
373	227	421	195	116	430	242	455	316	1	O	62.7282	O1
377	246	393	211	127	424	258	302	272	2	O	62.9967	O2
344	227	387	227	133	436	263	403	320	3	O	63.3244	O3
398	250	408	220	132	429	239	623	434	4	O	63.5892	O4
408	237	440	215	120	458	439	557	405	5	O	63.8557	O5
398	261	391	166	105	403	308	561	352	6	O	64.1415	O6
340	238	366	176	113	398	335	617	435	7	O	64.4265	O7
393	246	410	194	121	412	422	606	404	8	O	64.7319	O8
417	258	414	182	117	399	467	623	434	9	O	65.0714	O9
370	232	408	300	169	455	357	263	216	10	O	65.4107	O10
409	253	414	254	151	431	302	244	363	11	O	65.7121	O11
487	273	457	327	167	502	297	252	347	12	O	66.0167	O12
493	256	492	346	178	497	409	282	378	13	O	66.3041	O13
445	263	433	273	150	466	315	247	281	14	O	66.5741	O14
390	252	395	173	103	429	297	244	248	14	P	66.8383	P14
352	236	381	202	123	420	297	261	288	13	P	67.1161	P13
444	246	462	342	200	439	343	285	358	12	P	67.4533	P12
372	240	396	248	147	431	367	257	262	11	P	67.7874	P11
415	249	427	257	141	466	292	273	249	10	P	68.1142	P10
393	250	402	185	116	408	317	636	460	9	P	68.3577	P9
474	251	484	215	113	486	388	583	434	8	P	68.6685	P8
491	248	506	322	167	494	325	670	466	7	P	69.0462	P7
498	269	474	292	150	498	423	563	401	6	P	69.3333	P6
424	257	422	215	133	414	349	597	408	5	P	69.6973	P5
379	247	393	217	145	383	245	419	318	4	P	69.9343	P4
324	197	420	299	154	496	261	266	366	3	P	70.1909	P3
326	215	388	222	133	429	242	629	456	2	P	70.4471	P2
379	240	404	296	170	446	259	332	278	1	P	70.7107	P1
389	243	411	213	126	433	308	564	409	17	P	71.241	P17
372	246	388	190	117	416	250	443	318	17	O	71.4644	O17
327	188	446	306	150	522	336	603	432	17	N	71.7419	N17
376	258	373	149	99	384	237	395	275	17	M	72.0463	M17
462	255	465	320	174	472	589	598	422	17	L	72.2987	L17
352	234	385	247	146	432	243	568	368	17	K	72.5673	K17
422	256	421	203	125	416	351	587	391	17	J	73.0393	J17
380	252	386	233	149	400	249	328	249	17	I	73.296	I17
367	236	397	142	90	403	312	562	350	17	H	73.5198	H17
361	223	415	270	156	445	237	278	224	17	G	73.7686	G17
396	238	425	258	148	445	369	610	441	17	F	74.0973	F17
439	264	427	235	142	423	242	516	398	17	E	74.3453	E17
296	216	351	110	72	390	317	645	446	17	D	74.5891	D17
423	264	411	192	123	401	239	498	353	17	C	74.8419	C17
395	250	404	156	95	418	347	637	442	17	B	75.1225	B17
319	202	404	304	186	418	263	261	248	17	A	75.3651	A17
350	205	438	231	132	446	250	597	426	18	A	75.6312	A18
337	241	358	154	100	396	251	449	348	19	A	75.9568	A19
343	238	368	159	103	397	246	323	261	20	A	76.2236	A20
382	250	391	156	101	396	442	663	466	21	A	76.649	A21
410	263	400	192	109	453	353	659	468	22	A	76.9	A22
363	205	454	206	124	424	311	631	446	23	A	77.2898	A23
451	244	473	322	176	469	549	659	469	24	A	77.628	A24
406	243	428	180	102	450	379	608	445	24	C	77.9579	C24
451	238	485	183	106	441	384	636	458	23	C	78.421	C23
447	262	437	235	145	413	357	614	431	22	C	78.8543	C22
373	214	447	349	198	452	352	268	373	22	B	79.1634	B22
409	253	414	282	159	454	306	260	282	21	B	79.4701	B21
386	252	392	234	135	443	295	253	308	20	B	79.7773	B20
450	257	448	270	148	465	325	267	319	19	B	80.0806	B19
392	248	405	242	137	451	294	242	248	18	B	80.3567	B18
390	252	397	293	184	407	253	390	341	18	C	80.5993	C18
435	251	443	329	188	447	251	588	390	19	C	80.8717	C19
374	236	406	263	169	399	252	518	400	20	C	81.1367	C20
335	239	358	141	88	408	446	609	423	21	C	81.4436	C21
407	218	477	343	197	447	332	260	296	21	D	81.7299	D21
457	247	472	332	173	491	305	270	302	20	D	81.991	D20
451	263	439	328	189	445	321	251	337	19	D	82.2809	D19
443	250	454	317	169	480	314	269	297	18	D	82.557	D18
390	251	399	273	160	436	260	329	281	18	E	82.7722	E18
410	232	452	352	185	488	234	258	237	19	E	83.0323	E19
377	241	401	189	118	412	257	355	299	20	E	83.2975	E20
401	223	460	278	160	446	393	648	469	21	E	83.6515	E21
434	264	421	204	122	429	313	646	457	22	E	83.9855	E22
423	263	412	280	159	451	312	288	248	22	D	84.2646	D22
411	222	474	307	172	456	509	633	455	23	E	84.5795	E23
467	244	491	359	186	493	616	613	456	24	E	84.9192	E24
434	260	426	168	98	441	321	647	455	24	G	85.2805	G24
455	263	443	230	133	442	322	633	436	23	G	85.61	G23
456	258	452	248	147	431	534	627	457	22	G	85.9775	G22
468	267	449	274	140	501	306	282	282	22	F	86.2563	F22
461	261	452	279	143	498	323	259	312	21	F	86.5108	F21
455	269	433	304	164	474	313	253	311	20	F	86.7897	F20
402	246	418	214	125	437	307	283	282	19	F	87.1162	F19
442	242	468	378	216	447	345	246	265	18	F	87.4051	F18
412	260	406	212	126	430	246	568	393	18	G	87.6415	G18
405	261	398	204	125	419	243	588	398	19	G	87.9663	G19
394	235	429	378	211	458	245	277	296	20	G	88.2331	G20
424	255	426	196	124	404	442	630	468	21	G	88.5725	G21
461	267	443	322	179	460	309	253	264	21	H	88.8149	H21
356	232	393	270	154	450	314	259	204	20	H	89.0935	H20
418	257	417	305	195	400	331	250	215	19	H	89.416	H19
432	260	424	348	189	472	305	260	317	18	H	89.6774	H18
368	245	385	221	128	443	259	413	300	18	I	89.9096	I18
368	253	372	167	106	404	244	531	400	19	I	90.1802	I19
323	225	368	158	97	417	242	312	223	20	I	90.5033	I20
349	229	391	162	110	376	328	614	431	21	I	90.8049	I21
470	260	463	291	155	481	313	607	423	22	I	91.1373	I22
406	248	419	283	165	440	292	264	253	22	H	91.3589	H22
409	256	409	187	123	389	314	593	414	23	I	91.7354	I23
372	236	404	151	95	407	316	567	382	24	I	92.0628	I24
487	265	470	299	163	469	443	605	460	24	K	92.3416	K24
451	245	471	286	155	473	310	626	461	23	K	92.6068	K23
469	274	438	231	126	470	503	634	443	22	K	92.8852	K22
390	238	420	336	207	416	294	267	297	22	J	93.1167	J22
389	224	445	301	174	442	293	265	300	21	J	93.4447	J21
396	224	453	366	197	475	390	260	357	20	J	93.7488	J20
401	246	417	326	177	472	300	282	271	19	J	94.007	J19
400	261	393	273	147	477	306	246	254	18	J	94.2739	J18
339	228	381	214	120	457	251	509	328	18	K	94.493	K18
403	235	438	242	133	466	247	582	402	19	K	94.7763	K19
375	237	406	225	136	424	251	335	222	20	K	95.1047	K20
434	249	446	267	169	404	398	559	429	21	K	95.3416	K21
377	236	408	197	115	438	373	228	260	21	L	95.5947	L21
437	255	439	334	186	459	299	247	352	20	L	95.929	L20
437	239	468	366	187	500	419	281	266	19	L	96.1943	L19
384	237	414	350	197	454	316	260	286	18	L	96.4815	L18
405	246	421	247	146	433	256	534	355	18	M	96.8093	M18
385	241	409	238	154	396	232	233	269	19	M	97.1379	M19
447	267	428	296	174	434	232	418	285	20	M	97.4033	M20
431	231	479	324	187	443	376	657	456	21	M	97.709	M21
490	257	487	317	165	492	377	585	394	22	M	98.103	M22
381	234	417	332	214	397	294	280	413	22	L	98.4307	L22
447	238	480	358	199	460	528	612	418	23	M	98.8339	M23
476	249	490	364	196	475	335	586	399	24	M	99.1317	M24
385	250	395	214	131	419	504	594	409	24	O	99.4984	O24
389	244	409	178	109	417	532	551	359	23	O	99.8308	O23
442	270	419	196	111	454	317	595	424	22	O	100.134	O22
388	249	400	255	146	446	345	263	374	22	N	100.34200000000001	N22
394	245	411	309	196	405	296	239	252	21	N	100.676	N21
479	270	454	321	186	441	317	242	332	20	N	100.978	N20
462	256	461	340	186	468	292	276	256	19	N	101.249	N19
414	261	407	241	145	426	304	245	266	18	N	101.52600000000001	N18
378	244	396	311	195	409	247	279	295	18	O	101.81200000000001	O18
343	236	372	128	79	416	260	249	298	19	O	102.07700000000001	O19
350	210	428	304	172	451	234	253	258	20	O	102.351	O20
501	265	484	310	168	472	323	621	448	21	O	102.633	O21
416	248	430	375	215	446	298	250	314	21	P	102.851	P21
420	253	426	320	195	421	300	270	262	20	P	103.115	P20
459	263	447	260	138	483	296	295	284	19	P	103.39399999999999	P19
395	247	410	249	149	427	318	270	286	18	P	103.679	P18
393	243	415	285	157	464	307	243	247	22	P	104.014	P22
