FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Column	Row	Time	Well
471	249	484	288	159	464	243	446	356	1	A	2.33906	A1
398	237	431	301	163	472	250	236	251	2	A	2.68902	A2
385	242	407	174	105	422	250	565	439	3	A	2.96297	A3
378	237	409	293	171	438	244	286	270	4	A	3.29375	A4
416	253	421	235	147	411	544	556	371	5	A	3.53913	A5
393	258	389	121	76	406	412	584	374	6	A	3.8432	A6
577	283	522	263	130	519	323	600	414	7	A	4.17569	A7
420	250	430	148	83	453	326	668	451	8	A	4.54469	A8
477	283	431	167	94	453	325	619	437	9	A	4.7915	A9
357	230	398	291	176	422	306	277	369	10	A	5.007619999999999	A10
486	275	453	279	154	464	292	266	261	11	A	5.2720400000000005	A11
460	249	473	365	188	496	299	273	292	12	A	5.5319199999999995	A12
461	265	444	336	188	457	328	273	274	13	A	5.80189	A13
466	268	445	226	129	450	306	266	302	14	A	6.1439	A14
499	258	495	312	180	442	294	284	255	13	B	6.69946	B13
498	269	474	286	148	495	298	278	292	12	B	6.9349	B12
450	233	493	278	155	459	394	265	349	11	B	7.169060000000001	B11
405	251	412	317	182	447	300	275	305	10	B	7.471139999999999	B10
494	257	492	193	106	465	337	622	460	9	B	7.761	B9
483	267	463	214	121	452	316	549	364	8	B	8.067910000000001	B8
415	249	427	234	136	438	428	622	401	7	B	8.40708	B7
393	255	394	192	114	431	521	578	419	6	B	8.73587	B6
410	231	455	218	119	467	390	589	423	5	B	9.15602	B5
394	263	383	138	92	383	238	591	389	4	B	9.43551	B4
376	249	387	102	65	401	253	291	269	3	B	9.706760000000001	B3
332	227	375	221	142	398	245	279	276	2	B	9.9763	B2
389	230	433	295	178	425	250	491	335	1	B	10.2458	B1
377	258	375	148	92	411	248	507	331	1	C	10.5182	C1
362	237	391	112	66	433	242	461	313	2	C	10.8442	C2
394	263	384	143	94	389	234	573	372	3	C	11.1144	C3
431	263	420	260	168	396	270	517	357	4	C	11.4402	C4
364	238	392	123	77	410	379	652	461	5	C	11.7086	C5
392	232	433	145	103	359	353	625	431	6	C	12.0418	C6
406	252	412	110	67	422	414	594	396	7	C	12.4401	C7
483	279	442	193	112	442	335	648	465	8	C	12.7331	C8
476	267	456	131	66	509	351	631	436	9	C	13.038	C9
370	251	377	181	116	401	324	253	296	10	C	13.314	C10
392	237	424	244	144	435	296	260	246	11	C	13.5768	C11
353	233	388	259	150	443	292	257	258	12	C	13.9283	C12
429	265	415	232	134	443	346	240	283	13	C	14.1568	C13
505	268	482	228	125	468	309	260	254	14	C	14.4296	C14
333	210	406	225	130	443	310	266	298	14	D	14.7314	D14
420	228	472	205	112	468	433	296	258	13	D	15.0291	D13
462	253	467	365	197	475	314	288	299	12	D	15.3389	D12
377	231	418	212	110	491	293	281	314	11	D	15.6181	D11
479	262	468	291	148	503	344	259	297	10	D	15.9513	D10
457	264	444	116	69	430	339	602	410	9	D	16.1736	D9
366	229	410	209	124	431	333	655	471	8	D	16.4618	D8
383	249	393	128	87	380	371	618	409	7	D	16.7722	D7
362	207	448	214	127	432	425	594	391	6	D	17.1297	D6
459	253	465	183	97	482	327	547	379	5	D	17.4619	D5
416	259	411	252	148	434	238	414	283	4	D	17.7876	D4
360	237	389	189	116	418	234	291	234	3	D	18.1167	D3
471	267	451	370	207	457	263	456	390	2	D	18.3851	D2
462	256	462	260	143	466	269	575	358	1	D	18.7187	D1
396	212	479	183	104	452	244	357	260	1	E	18.9858	E1
392	255	393	189	111	434	248	441	330	2	E	19.2568	E2
338	227	380	236	146	414	244	328	248	3	E	19.5297	E3
311	201	396	270	176	394	243	442	287	4	E	19.8598	E4
353	235	385	128	83	396	523	574	435	5	E	20.1392	E5
405	254	409	207	124	426	520	553	378	6	E	20.4229	E6
476	275	444	145	85	438	441	568	385	7	E	20.7078	E7
388	231	429	169	119	363	538	654	470	8	E	20.9832	E8
460	236	498	262	139	483	322	611	418	9	E	21.3354	E9
411	252	418	263	152	444	380	272	367	10	E	21.5518	E10
413	252	421	318	177	459	316	264	346	11	E	21.838	E11
445	252	452	282	154	469	303	256	263	12	E	22.1221	E12
381	222	440	350	196	457	306	283	249	13	E	22.4519	E13
393	230	437	291	152	491	357	264	315	14	E	22.7242	E14
389	233	427	236	135	448	304	277	253	14	F	23.0496	F14
399	233	438	381	224	436	292	255	278	13	F	23.3242	F13
468	257	466	184	102	459	297	290	220	12	F	23.5884	F12
408	220	475	267	141	487	338	288	345	11	F	23.8762	F11
422	266	405	249	145	440	295	283	281	10	F	24.2036	F10
436	249	449	188	124	389	454	664	468	9	F	24.4413	F9
514	266	495	154	76	520	417	592	397	8	F	24.8329	F8
385	215	459	232	141	422	319	618	408	7	F	25.1635	F7
454	238	488	174	94	474	323	645	467	6	F	25.4565	F6
361	236	393	145	93	398	463	616	433	5	F	25.7839	F5
375	240	400	277	159	446	259	268	277	4	F	25.997	F4
347	240	371	220	138	408	249	257	264	3	F	26.2617	F3
339	231	376	163	109	380	252	341	268	2	F	26.531	F2
374	241	397	248	156	408	252	279	266	1	F	26.8589	F1
371	209	454	327	189	444	260	603	437	1	G	27.1295	G1
369	231	409	268	162	422	263	385	276	2	G	27.4581	G2
372	251	380	141	90	399	242	513	310	3	G	27.7279	G3
331	212	400	120	74	416	244	532	358	4	G	27.9964	G4
544	273	509	248	128	498	434	619	451	5	G	28.3382	G5
405	248	418	116	69	433	327	641	441	6	G	28.7463	G6
491	267	470	181	91	510	484	645	449	7	G	29.0261	G7
406	251	413	116	68	440	331	561	395	8	G	29.413	G8
376	247	391	115	71	417	319	595	422	9	G	29.8016	G9
432	235	470	302	163	474	321	267	217	10	G	30.0447	G10
422	263	411	272	144	483	326	274	288	11	G	30.3779	G11
378	233	415	250	150	427	297	277	336	12	G	30.7087	G12
398	220	464	284	153	475	299	249	298	13	G	31.013	G13
415	248	428	276	170	414	294	278	280	14	G	31.301	G14
397	219	465	332	182	466	366	277	338	14	H	31.6128	H14
493	265	476	333	180	473	339	252	311	13	H	31.8957	H13
369	251	377	183	121	389	297	251	232	12	H	32.2205	H12
434	249	447	364	198	470	318	264	313	11	H	32.5094	H11
309	214	369	182	122	382	320	258	265	10	H	32.8414	H10
399	239	428	180	122	377	374	616	433	9	H	33.1013	H9
344	196	450	237	133	457	461	652	460	8	H	33.4613	H8
406	228	457	159	78	524	441	556	371	7	H	33.7843	H7
353	238	380	138	84	419	410	631	454	6	H	34.126	H6
411	246	427	202	120	432	392	607	443	5	H	34.4226	H5
330	218	388	240	147	419	265	323	301	4	H	34.6413	H4
311	212	377	158	105	387	249	462	306	3	H	34.9089	H3
337	239	361	111	77	367	260	452	327	2	H	35.1793	H2
426	232	471	327	186	450	251	564	422	1	H	35.449	H1
348	225	396	219	141	397	247	516	318	1	I	35.7798	I1
416	233	456	282	150	481	260	255	280	2	I	36.0465	I2
368	244	387	212	130	418	235	346	248	3	I	36.3146	I3
379	230	421	318	195	417	264	432	292	4	I	36.5872	I4
526	286	470	189	106	455	315	596	417	5	I	36.8931	I5
356	197	463	262	155	435	317	571	372	6	I	37.195	I6
493	270	469	183	100	469	439	639	454	7	I	37.4961	I7
398	245	416	136	82	424	358	575	415	8	I	37.8168	I8
390	252	396	128	82	401	315	544	394	9	I	38.1042	I9
395	217	466	306	162	482	322	267	296	10	I	38.4093	I10
424	250	435	286	169	433	313	265	287	11	I	38.7006	I11
398	237	429	332	205	414	295	262	297	12	I	39.0009	I12
434	254	436	328	166	507	331	267	289	13	I	39.2684	I13
416	242	440	230	131	451	304	281	295	14	I	39.5943	I14
545	286	488	353	172	524	434	287	379	14	J	39.8643	J14
456	248	471	350	189	475	295	249	258	13	J	40.1531	J13
437	274	409	298	173	439	356	275	316	12	J	40.4247	J12
455	235	495	278	140	509	346	278	280	11	J	40.6836	J11
413	262	404	358	218	420	305	279	305	10	J	40.963	J10
450	258	445	159	98	415	310	603	441	9	J	41.2347	J9
374	245	391	112	74	391	363	615	430	8	J	41.5222	J8
449	264	435	154	89	441	308	659	451	7	J	41.8382	J7
387	243	408	152	100	392	336	590	420	6	J	42.1965	J6
451	271	427	185	98	480	584	557	408	5	J	42.6424	J5
410	237	444	226	140	414	249	561	409	4	J	42.9217	J4
376	257	374	172	111	397	252	472	369	3	J	43.1911	J3
361	236	393	215	139	395	258	419	280	2	J	43.4622	J2
379	253	384	190	118	411	230	502	356	1	J	43.7912	J1
382	256	383	165	107	393	251	524	335	1	K	44.0594	K1
377	251	384	149	101	378	246	445	312	2	K	44.3291	K2
340	239	365	171	123	355	249	407	301	3	K	44.5999	K3
399	260	393	223	129	440	257	278	221	4	K	44.9294	K4
449	236	488	202	120	431	310	571	412	5	K	45.2606	K5
443	266	426	126	70	458	405	629	436	6	K	45.6728	K6
397	242	421	137	82	424	367	609	395	7	K	45.9752	K7
337	222	389	202	117	442	410	563	367	8	K	46.3085	K8
447	267	428	154	97	406	337	564	368	9	K	46.7537	K9
443	243	466	329	179	470	308	281	257	10	K	46.995	K10
472	266	455	346	194	456	320	270	287	11	K	47.3063	K11
382	254	384	229	133	442	300	251	241	12	K	47.6317	K12
393	222	453	318	173	470	328	291	260	13	K	47.9333	K13
391	249	401	157	100	402	326	257	277	14	K	48.2239	K14
508	264	492	276	142	497	313	260	282	14	L	48.4905	L14
420	250	431	237	140	434	403	256	280	13	L	48.7574	L13
436	271	411	213	140	391	297	280	266	12	L	49.1487	L12
509	281	463	354	188	482	323	278	312	11	L	49.4237	L11
465	253	470	305	156	500	306	276	337	10	L	49.7528	L10
444	239	475	182	96	489	368	646	464	9	L	50.0088	L9
372	239	398	109	76	366	449	653	461	8	L	50.3933	L8
504	278	464	205	110	477	317	598	436	7	L	50.8487	L7
480	266	461	155	85	464	573	647	469	6	L	51.1628	L6
451	265	436	135	80	431	429	606	436	5	L	51.4757	L5
361	238	389	204	122	426	248	422	318	4	L	51.6968	L4
368	259	364	148	91	416	237	416	247	3	L	51.9658	L3
387	243	408	220	134	420	256	326	262	2	L	52.2353	L2
380	253	384	171	112	392	237	479	352	1	L	52.5069	L1
397	249	408	298	165	463	250	348	285	1	M	52.8322	M1
410	254	413	218	144	388	238	285	245	2	M	53.1035	M2
385	249	395	248	157	404	231	489	346	3	M	53.4326	M3
396	260	390	267	178	383	241	600	444	4	M	53.7007	M4
451	250	462	212	114	475	505	583	362	5	M	53.9419	M5
430	257	428	215	133	414	520	564	401	6	M	54.3237	M6
497	263	483	334	180	475	484	628	440	7	M	54.6365	M7
471	253	476	260	145	459	329	615	424	8	M	54.9343	M8
429	246	446	157	104	386	483	620	455	9	M	55.2534	M9
414	250	424	223	125	459	303	276	278	10	M	55.4664	M10
392	232	432	362	196	472	301	246	272	11	M	55.7513	M11
397	223	456	380	229	425	343	270	314	12	M	56.0997	M12
404	261	395	160	97	423	293	250	272	13	M	56.38399999999999	M13
439	240	468	373	227	421	339	279	344	14	M	56.7076	M14
376	243	395	297	172	441	314	258	336	14	N	56.974	N14
370	243	389	241	145	426	310	268	322	13	N	57.3066	N13
406	241	431	323	183	452	306	272	317	12	N	57.6034	N12
417	255	419	260	149	448	292	259	341	11	N	57.9052	N11
396	247	410	302	177	437	298	260	293	10	N	58.2025	N10
490	275	455	151	88	440	376	635	433	9	N	58.4417	N9
381	254	384	130	78	425	320	595	421	8	N	58.7161	N8
396	251	404	168	118	365	524	574	376	7	N	59.0051	N7
403	230	448	133	77	439	316	647	465	6	N	59.6377	N6
469	261	459	271	151	458	323	639	437	5	N	60.0983	N5
520	276	483	179	98	468	269	526	344	4	N	60.4011	N4
357	247	370	195	136	367	241	282	282	3	N	60.7269	N3
410	243	432	201	132	391	265	253	197	2	N	60.9978	N2
360	202	457	148	81	471	251	466	327	1	N	61.2672	N1
377	232	416	242	137	453	251	255	241	1	O	61.5393	O1
373	244	392	228	140	418	243	356	335	2	O	61.8648	O2
442	270	418	277	161	439	263	494	344	3	O	62.1348	O3
319	228	359	146	104	358	257	530	382	4	O	62.373000000000005	O4
518	261	508	220	132	426	418	578	414	5	O	62.61	O5
391	242	414	221	132	428	324	571	423	6	O	62.8723	O6
446	259	440	224	142	404	380	623	463	7	O	63.1879	O7
483	264	468	223	129	445	499	610	423	8	O	63.4711	O8
362	238	390	120	77	398	322	591	393	9	O	63.9285	O9
398	235	433	264	143	471	457	244	334	10	O	64.2115	O10
442	258	438	373	203	470	295	264	251	11	O	64.5565	O11
459	257	458	289	155	478	294	243	239	12	O	64.8445	O12
414	262	404	183	109	432	344	266	266	13	O	65.1709	O13
394	217	464	319	182	447	295	269	303	14	O	65.4433	O14
339	239	364	116	79	375	331	246	267	14	P	65.7123	P14
429	270	406	213	123	444	295	262	274	13	P	65.9834	P13
359	234	392	301	180	428	300	288	243	12	P	66.3106	P12
407	232	449	353	195	463	370	250	282	11	P	66.587	P11
432	249	444	277	152	467	320	264	274	10	P	66.8488	P10
384	254	387	150	98	390	347	634	450	9	P	67.0648	P9
453	243	477	224	128	447	341	603	442	8	P	67.3566	P8
389	227	439	214	128	426	494	579	435	7	P	67.8039	P7
386	254	389	161	104	397	603	550	383	6	P	68.0992	P6
375	244	393	128	81	404	323	579	401	5	P	68.4173	P5
383	223	440	296	167	454	235	305	291	4	P	68.7137	P4
299	228	336	143	108	338	237	252	255	3	P	68.9682	P3
361	220	420	290	169	439	250	275	286	2	P	69.2521	P2
344	226	391	165	108	389	237	309	272	1	P	69.5825	P1
488	269	465	258	135	491	467	630	451	17	P	70.1093	P17
370	227	418	165	98	430	256	622	434	17	O	70.3348	O17
360	224	411	146	92	407	413	549	372	17	N	70.8127	N17
349	241	371	152	101	387	252	375	270	17	M	71.0592	M17
511	261	501	268	128	536	405	664	463	17	L	71.3959	L17
325	186	448	256	144	454	256	468	317	17	K	71.6603	K17
418	242	443	191	113	434	308	582	364	17	J	71.9872	J17
408	234	445	139	85	418	520	574	426	17	H	72.5062	H17
429	254	432	207	116	456	252	604	450	17	G	72.7762	G17
444	249	456	292	135	554	370	622	413	17	F	73.0014	F17
