"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"
"-10675"	"1"	"11825"	"F1"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw"	"06/19/2021 18:21:03"	"0.00 - 127.04"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11826"	"F2"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_3.raw"	"06/20/2021 12:18:26"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11827"	"F3"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_4.raw"	"06/21/2021 23:10:05"	"0.07 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11828"	"F4"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_5.raw"	"06/22/2021 17:08:05"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11829"	"F5"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_6.raw"	"06/23/2021 11:06:06"	"0.07 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11830"	"F6"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_7.raw"	"06/24/2021 05:04:11"	"0.07 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11831"	"F7"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_8.raw"	"06/25/2021 14:31:06"	"0.07 - 2.83"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11832"	"F8"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_9.raw"	"06/26/2021 11:00:20"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11833"	"F9"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_10.raw"	"06/27/2021 04:57:28"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10675"	"1"	"11834"	"F10"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS2_500\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_11.raw"	"07/05/2021 15:31:03"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
