File ID	Channel	File Name	Plate	Sample	Row	Column	Well	Sorted Population	FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Time
F1	126	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17														
F1	127N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	17	A17	CD34-	403.0	266.0	388.0	178.0	114.0	398.0	245.0	478.0	265.0	74.2826
F1	127C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17														
F1	128N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	21	A21	CD34+CD38+	357.0	214.0	427.0	240.0	146.0	422.0	453.0	615.0	427.0	75.4828
F1	128C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	18	A18	CD34-	437.0	274.0	408.0	271.0	151.0	458.0	235.0	389.0	322.0	74.5437
F1	129N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	22	A22	CD34+CD38+	396.0	251.0	403.0	151.0	92.0	417.0	466.0	577.0	402.0	75.7634
F1	129C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	23	A23	CD34+CD38+	502.0	277.0	464.0	164.0	91.0	462.0	309.0	673.0	470.0	76.1363
F1	130N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	B	18	B18	CD34+CD38-	392.0	235.0	428.0	365.0	204.0	459.0	325.0	268.0	318.0	78.9417
F1	130C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	19	A19	CD34-	310.0	223.0	357.0	149.0	97.0	393.0	240.0	311.0	234.0	74.812
F1	131N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	B	19	B19	CD34+CD38-	465.0	256.0	465.0	364.0	186.0	503.0	316.0	270.0	360.0	78.669
F1	131C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	20	A20	CD34-	376.0	227.0	424.0	208.0	119.0	447.0	266.0	310.0	266.0	75.1392
F1	132N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	B	20	B20	CD34+CD38-	374.0	241.0	396.0	227.0	139.0	418.0	316.0	261.0	268.0	78.3406
F1	132C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	A	24	A24	CD34+CD38+	377.0	216.0	447.0	139.0	85.0	421.0	342.0	641.0	416.0	76.46
F1	133N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	B	21	B21	CD34+CD38-	414.0	234.0	453.0	368.0	198.0	475.0	305.0	271.0	289.0	78.0442
F1	133C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_500ms_2.raw	1	17	B	17	B17	CD34+CD38+	464.0	255.0	467.0	282.0	145.0	496.0	675.0	542.0	447.0	74.0506
