Well,IdxRow,IdxCol,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,nbrCell
A01,A,01,102827.9296875,104116.359375,64725,60555.0390625,103452.3359375,38361,231.430052417522,79.0500030517578,57.2000007629395,2136.19995117188,1
A02,A,02,103021.0546875,101784.7734375,66332,45099.59765625,105596.546875,27990,768.228114399107,94.3500061035156,315.040008544922,2335.5,1
A03,A,03,95499.671875,113665.8046875,55062,96846.875,113814.09375,55766,139.025656692941,113.900001525879,593.119995117188,2566.5,1
A04,A,04,106935.28125,106130.4296875,66033,65209.0390625,109921.796875,38878,1849.75487426924,40.8000030517578,683.760009765625,2757.19995117188,1
A05,A,05,108745.5390625,112017.03125,63622,61081.27734375,108029.21875,37055,6023.24713927731,2804.15014648438,1637.67993164062,3012.30004882812,1
A06,A,06,115713.3515625,113132.59375,67031,63364.078125,116131.4375,35758,4626.10270288696,456.450012207031,1114.9599609375,3212.60009765625,1
A07,A,07,116712.8203125,120137.140625,63668,69915.0390625,123177.390625,37198,6708.00533208696,1862.35009765625,1389.52001953125,3425.19995117188,1
A08,A,08,121706.609375,122903.09375,64898,73926.3203125,133034.09375,36418,3981.06209871687,459,902,3826.80004882812,1
A09,A,09,124405.0859375,118408.421875,68855,72160.3984375,122556.921875,38587,3040.34202102348,459.850006103516,889.679992675781,4040.10009765625,1
A10,A,10,98506.9765625,109603.4609375,58901,71123.515625,108431.640625,42987,330.831752617544,383.350006103516,448.799987792969,4198,1
A11,A,11,115093.015625,108389.7734375,69589,63651.1171875,111108.0234375,37544,202.34617817568,427.550018310547,-50.1599998474121,4378.89990234375,1
A12,A,12,130784.609375,120917.28125,70884,92436.234375,130280.25,46499,276.268759350646,407.150024414062,850.080017089844,4571.60009765625,1
A13,A,13,108973.375,107451.84375,66464,74004.3203125,114561.1640625,42335,182.119668619073,320.450012207031,359.919982910156,4811.89990234375,1
A14,A,14,102140.8515625,107320.515625,62373,99046.4765625,104134.3359375,62334,102.910569933936,392.700012207031,279.839996337891,5035.39990234375,1
A17,A,17,81655.71875,103498.484375,51705,77891.8359375,107102.5,47662,152.219142540664,165.75,84.4799957275391,53421.69921875,1
A18,A,18,89695.0859375,112189.0546875,52396,59092.796875,114252.59375,33896,4702.70780406098,98.6000061035156,1235.52001953125,53610.30078125,1
A19,A,19,86215.1875,91539.734375,61724,39490.87890625,101250.8984375,25561,1467.82734105893,100.300003051758,638,53841.1015625,1
A20,A,20,87850.1171875,94314.6796875,61044,40789.83984375,101515.3203125,26333,491.910567833772,74.8000030517578,155.759994506836,54030.19921875,1
A21,A,21,97708.6484375,100142.859375,63943,39877.7578125,101319.25,25794,8270.94486838035,1392.30004882812,1675.52001953125,54331.80078125,1
A22,A,22,104938.1171875,102277.25,67241,49242.95703125,115939.875,27835,8014.07520658393,674.900024414062,1704.55993652344,54509.69921875,1
A23,A,23,93034.3671875,116348,52404,52791.4375,108598.765625,31858,6272.58717691625,420.75,1444.07995605469,54786,1
A24,A,24,115397.3984375,121119.2109375,62440,82422.078125,119985.1953125,45019,8021.68164920856,3165.40014648438,1711.59997558594,55025.69921875,1
B01,B,01,111698.5546875,110052.859375,66516,53675.4375,107643.2421875,32679,1301.50675283306,105.400001525879,255.199996948242,7989.7001953125,1
B02,B,02,109916.78125,106100.8671875,67893,44305.0390625,105373.796875,27555,6791.81919477612,164.050003051758,1305.92004394531,7800.5,1
B03,B,03,133378.0625,124856.3046875,70009,75264.796875,128061.7421875,38517,6336.87924087545,5.10000038146973,1193.28002929688,7569.7998046875,1
B04,B,04,106503.625,106419.1875,65588,55772.078125,108960.46875,33545,6852.5567419192,26.3500003814697,1651.76000976562,7378.89990234375,1
B05,B,05,101543.65625,103133.078125,64526,47442.71875,102933.390625,30206,4345.24254577875,1568.25,1450.23999023438,7173.7001953125,1
B06,B,06,103280.046875,101822.6875,66474,48170.71875,96936.0546875,32567,4262.4288824291,2314.55004882812,846.559997558594,6904.2998046875,1
B07,B,07,93940.390625,98566.7265625,62460,37331.83984375,105003.40625,23300,4784.47853259321,647.700012207031,956.559997558594,6633,1
B08,B,08,119115.8203125,113715.9765625,68648,68801.1953125,133880.3125,33679,7119.80682692356,2170.90014648438,1568.16003417969,6406.60009765625,1
B09,B,09,118359.3203125,121418.1171875,63885,58567.59765625,121200.1171875,31669,5897.58184208035,1413.55004882812,1396.55993652344,6225.2001953125,1
B10,B,10,100397.3359375,108752.5859375,60501,75317.8359375,110688.203125,44594,185.638266770781,331.5,392.480010986328,6050.2001953125,1
B11,B,11,120053.875,117108.9921875,67184,75044.3203125,128239.2734375,38351,60.6749586404349,357.850006103516,108.23999786377,5864.10009765625,1
B12,B,12,106488.5,108628.3828125,64245,71866.078125,121924.3359375,38629,135.445111622461,595,290.399993896484,5664,1
B13,B,13,98078.890625,105844.0625,60728,74167.59375,117648.5,41315,150.415481060576,512.549987792969,366.959991455078,5429.7001953125,1
B14,B,14,91695.8046875,104786.0625,57349,71844.234375,106809.671875,44082,157.474961692193,357.850006103516,206.800003051758,5240.60009765625,1
B17,B,17,101055.046875,103333.4375,64091,39812.23828125,107102.9453125,24361,6583.19986399821,634.950012207031,1397.43994140625,53249.69921875,1
B18,B,18,100394.671875,103696.90625,63449,61855.0390625,115484.3515625,35102,55.398807669209,327.25,88,56959.8984375,1
B19,B,19,115152.6484375,114687.1484375,65802,69019.59375,119055.3125,37993,185.616975857208,500.650024414062,468.160003662109,56764.19921875,1
B20,B,20,98875.4375,100469.8046875,64496,59845.7578125,113282.0625,34622,112.597738537148,335.75,407.440002441406,56549.19921875,1
B21,B,21,104776.140625,106097.1796875,64720,72099.0390625,116258.2265625,40643,147.790781167891,391,265.760009765625,56331.5,1
