File ID	Channel	File Name	Plate	Sample	Row	Column	Well	Sorted Population	FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Time
F1	126	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13														
F1	127N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	1	M1	CD34-	397.0	249.0	408.0	298.0	165.0	463.0	250.0	348.0	285.0	52.8322
F1	127C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13														
F1	128N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	5	M5	CD34+CD38+	451.0	250.0	462.0	212.0	114.0	475.0	505.0	583.0	362.0	53.9419
F1	128C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	2	M2	CD34-	410.0	254.0	413.0	218.0	144.0	388.0	238.0	285.0	245.0	53.1035
F1	129N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	6	M6	CD34+CD38+	430.0	257.0	428.0	215.0	133.0	414.0	520.0	564.0	401.0	54.3237
F1	129C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	7	M7	CD34+CD38+	497.0	263.0	483.0	334.0	180.0	475.0	484.0	628.0	440.0	54.6365
F1	130N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	10	M10	CD34+CD38-	414.0	250.0	424.0	223.0	125.0	459.0	303.0	276.0	278.0	55.4664
F1	130C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	3	M3	CD34-	385.0	249.0	395.0	248.0	157.0	404.0	231.0	489.0	346.0	53.4326
F1	131N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_500ms_2.raw	1	13	M	11	M11	CD34+CD38-	392.0	232.0	432.0	362.0	196.0	472.0	301.0	246.0	272.0	55.7513
