File ID	Channel	File Name	Plate	Sample	Row	Column	Well	Sorted Population	FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Time
F1	126	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14														
F1	127N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	1	N1	CD34-	360.0	202.0	457.0	148.0	81.0	471.0	251.0	466.0	327.0	61.2672
F1	127C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14														
F1	128N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	5	N5	CD34+CD38+	469.0	261.0	459.0	271.0	151.0	458.0	323.0	639.0	437.0	60.0983
F1	128C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	2	N2	CD34-	410.0	243.0	432.0	201.0	132.0	391.0	265.0	253.0	197.0	60.9978
F1	129N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	6	N6	CD34+CD38+	403.0	230.0	448.0	133.0	77.0	439.0	316.0	647.0	465.0	59.6377
F1	129C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	7	N7	CD34+CD38+	396.0	251.0	404.0	168.0	118.0	365.0	524.0	574.0	376.0	59.0051
F1	130N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	10	N10	CD34+CD38-	396.0	247.0	410.0	302.0	177.0	437.0	298.0	260.0	293.0	58.2025
F1	130C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	3	N3	CD34-	357.0	247.0	370.0	195.0	136.0	367.0	241.0	282.0	282.0	60.7269
F1	131N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	11	N11	CD34+CD38-	417.0	255.0	419.0	260.0	149.0	448.0	292.0	259.0	341.0	57.9052
F1	131C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	4	N4	CD34-	520.0	276.0	483.0	179.0	98.0	468.0	269.0	526.0	344.0	60.4011
F1	132N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	12	N12	CD34+CD38-	406.0	241.0	431.0	323.0	183.0	452.0	306.0	272.0	317.0	57.6034
F1	132C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	8	N8	CD34+CD38+	381.0	254.0	384.0	130.0	78.0	425.0	320.0	595.0	421.0	58.7161
F1	133N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	13	N13	CD34+CD38-	370.0	243.0	389.0	241.0	145.0	426.0	310.0	268.0	322.0	57.3066
F1	133C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	9	N9	CD34+CD38+	490.0	275.0	455.0	151.0	88.0	440.0	376.0	635.0	433.0	58.4417
F1	134N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw	1	14	N	14	N14	CD34+CD38-	376.0	243.0	395.0	297.0	172.0	441.0	314.0	258.0	336.0	56.974
F2	126	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_3.raw	1	20														
