"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD34","CD38","7-AAD","IdxCol","IdxRow","Time"
102828,64725,104116,60555,38361,103452,79.05,231.43,57.2,1,16,3.01366
103021,66332,101785,45099.6,27990,105597,94.35,768.228,315.04,2,16,3.29483
95499.7,55062,113666,96846.9,55766,113814,113.9,139.026,593.12,3,16,3.62071
106935,66033,106130,65209,38878,109922,40.8,1849.75,683.76,4,16,3.88974
108746,63622,112017,61081.3,37055,108029,2804.15,6023.25,1637.68,5,16,4.24963
115713,67031,113133,63364.1,35758,116131,456.45,4626.1,1114.96,6,16,4.5322
116713,63668,120137,69915,37198,123177,1862.35,6708.01,1389.52,7,16,4.83213
121707,64898,122903,73926.3,36418,133034,459,3981.06,902,8,16,5.39869
124405,68855,118408,72160.4,38587,122557,459.85,3040.34,889.68,9,16,5.6996
98507,58901,109603,71123.5,42987,108432,383.35,330.832,448.8,10,16,5.92236
115093,69589,108390,63651.1,37544,111108,427.55,202.346,-50.16,11,16,6.17757
130785,70884,120917,92436.2,46499,130280,407.15,276.269,850.08,12,16,6.44942
108973,66464,107452,74004.3,42335,114561,320.45,182.12,359.92,13,16,6.78843
102141,62373,107321,99046.5,62334,104134,392.7,102.911,279.84,14,16,7.10373
91695.8,57349,104786,71844.2,44082,106810,357.85,157.475,206.8,14,15,7.39322
98078.9,60728,105844,74167.6,41315,117649,512.55,150.415,366.96,13,15,7.66
106489,64245,108628,71866.1,38629,121924,595,135.445,290.4,12,15,7.99054
120054,67184,117109,75044.3,38351,128239,357.85,60.675,108.24,11,15,8.27283
100397,60501,108753,75317.8,44594,110688,331.5,185.638,392.48,10,15,8.53537
118359,63885,121418,58567.6,31669,121200,1413.55,5897.58,1396.56,9,15,8.78225
119116,68648,113716,68801.2,33679,133880,2170.9,7119.81,1568.16,8,15,9.03817
93940.4,62460,98566.7,37331.8,23300,105003,647.7,4784.48,956.56,7,15,9.35756
103280,66474,101823,48170.7,32567,96936.1,2314.55,4262.43,846.56,6,15,9.7403
101544,64526,103133,47442.7,30206,102933,1568.25,4345.24,1450.24,5,15,10.1204
106504,65588,106419,55772.1,33545,108960,26.35,6852.56,1651.76,4,15,10.4098
133378,70009,124856,75264.8,38517,128062,5.1,6336.88,1193.28,3,15,10.6792
109917,67893,106101,44305,27555,105374,164.05,6791.82,1305.92,2,15,11.0046
111699,66516,110053,53675.4,32679,107643,105.4,1301.51,255.2,1,15,11.2715
87247.6,56137,101855,71055.9,42612,109282,114.75,1039.27,456.72,1,14,11.5396
