"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD34","CD38","7-AAD","IdxCol","IdxRow","Time"
94528.7,59429,104243,64133.7,40237,104458,111.35,108.226,110.88,1,16,3.2067
85439.1,60125,93128.3,52807,35187,98353.4,128.35,225.264,-14.08,2,16,3.47816
110423,63877,113291,95848.5,53681,117016,131.75,2478.06,846.56,3,16,3.75866
89966.5,53347,110523,78708.2,42774,120592,97.75,5821.19,1248.72,4,16,4.0854
116465,66409,114933,80090.4,42150,124527,652.8,6000.64,1352.56,5,16,4.42527
101472,62565,106290,71273.3,41235,113277,1072.7,3003.3,851.84,6,16,4.80123
114738,63233,118917,59021,35177,109958,767.55,7635.66,1678.16,7,16,5.28987
117302,69386,110793,63349.5,37390,111037,698.7,4430.71,913.44,8,16,5.71364
122070,67001,119401,66280.2,33917,128070,595.85,3973.13,1041.92,9,16,6.08566
97123.9,64960,97985.1,41095.6,30151,89325.1,752.25,102.865,156.64,10,16,6.33541
94869.5,59777,104009,72218.6,39722,119151,881.45,252.449,669.68,11,16,6.62408
107492,59277,118841,79285.4,40846,127211,580.55,184.727,212.08,12,16,6.89935
85927.7,59673,94370.3,44113.7,27683,104434,468.35,82.661,-71.28,13,16,7.22667
129869,68258,124690,91395.2,46767,128075,797.3,107.26,184.8,14,16,7.49545
95036,56382,110466,87694.9,49780,115451,472.6,129.301,532.4,14,15,7.86846
97277,64212,99282.8,60948.2,34271,116550,454.75,102.023,209.44,13,15,8.19746
102342,61700,108705,80033.2,46086,113810,368.05,99.3937,510.4,12,15,8.463
114592,65671,114356,82455.4,48345,111776,396.95,118.75,168.08,11,15,8.72798
99611.5,65795,99219.4,65748.8,37967,113491,334.05,241.958,270.16,10,15,8.99987
105735,64100,108103,72608.6,41474,114734,428.4,3455.71,880,9,15,9.38895
108064,65842,107562,58639.4,35394,108577,1620.1,3601.64,735.68,8,15,9.72346
95272.7,63585,98196,45671.6,28695,104309,1450.1,5043.1,1166,7,15,10.0338
106119,60647,114674,59345.5,38335,101455,402.05,4921.79,975.04,6,15,10.3321
105148,59150,116500,77652.6,43513,116955,731,5070.47,1288.32,5,15,10.712
89752.9,63432,92730,33342.4,22293,98018.5,10.2,1159.84,469.04,4,15,10.9659
92062.5,64410,93671.9,37210.2,25590,95295.2,48.45,1187.99,375.76,3,15,11.2363
100925,61899,106855,57942.6,31387,120984,35.7,160.156,72.16,2,15,11.4996
84966.5,59600,93429,46021,29262,103070,121.55,504.225,146.96,1,15,11.8279
120438,66777,118200,78707.2,43242,119286,149.6,725.101,571.12,1,14,12.0928
91602.4,63328,94796.2,38696.3,25160,100795,119,1592.79,612.48,2,14,12.3613
90028.8,59716,98803.2,45811,29467,101886,66.3,872.952,413.6,3,14,12.6306
93064.6,60392,100992,61459.8,37201,108272,34.85,2666.4,775.28,4,14,12.956
94841.1,58616,106038,50742.6,31273,106337,809.2,3843.74,1243.44,5,14,13.2451
115671,63903,118627,69888,40959,111824,463.25,6281.38,1674.64,6,14,13.5162
111220,66645,109369,51330.2,29698,113273,1699.15,6274.19,1498.64,7,14,13.8454
86767.9,57539,98827.2,30843.3,19899,101580,476,3961.7,1175.68,8,14,14.2783
113859,58434,127697,58772.5,32302,119241,1813.9,8127.45,1720.4,9,14,14.6764
114267,66339,112884,91281.8,46498,128656,413.1,116.988,596.64,10,14,14.9692
101619,55778,119397,77798.2,43349,117617,334.05,36.918,434.72,11,14,15.2745
84604.3,53860,102945,57171.9,33811,110817,564.4,241.049,344.96,12,14,15.6366
92027.8,61040,98806.3,47956.5,28139,111691,386.75,120.511,4.4,13,14,15.8982
101706,57057,116820,87031.4,48071,118651,408,121.389,49.28,14,14,16.1986
95255.8,59497,104924,56313.9,32923,112098,357,204.995,84.48,14,13,16.4959
93842.5,55758,110299,78170.6,43547,117643,380.8,132.832,254.32,13,13,16.8146
123296,69104,116930,87224.8,47323,120795,1156.85,108.094,366.96,12,13,17.078
106344,62581,111366,85901.9,47687,118055,321.3,173.32,247.28,11,13,17.3711
110461,61792,117153,75339.7,40635,121508,319.6,147.8,325.6,10,13,17.631
99923,63644,102893,40988.5,26387,101801,424.15,4661.31,772.64,9,13,17.8737
95415.1,63245,98871.5,39501.3,24507,105633,490.45,3713.54,927.52,8,13,18.1602
120966,65468,121092,84477.1,45367,122033,566.95,4217.77,853.6,7,13,18.4447
110073,61137,117993,70074.2,36914,124408,654.5,3025.36,1021.68,6,13,18.8153
123158,64513,125111,55922.9,29791,123022,424.15,4194.91,970.64,5,13,19.0867
100363,63793,103105,52801.8,33791,102407,19.55,2928.64,572,4,13,19.3246
103733,67393,100875,48038.6,29110,108150,100.3,1478.39,484,3,13,19.6517
86340.7,60740,93158.1,40942.7,25601,104809,62.05,1189.75,296.56,2,13,19.9176
122602,71189,112866,65105,37204,114685,183.6,82.6969,177.76,1,13,20.2441
97157.7,65648,96992,42779.4,24742,113313,141.1,294.782,535.92,1,12,20.5135
81647.7,58444,91555.4,42988.4,27929,100873,54.4,782.313,256.08,2,12,20.8387
98008.6,63622,100957,43780.9,28179,101821,101.15,1120.23,411.84,3,12,21.106
98259.6,60980,105601,78145.6,46644,109797,87.55,400.389,390.72,4,12,21.4343
93416.2,50235,121870,91822.6,52150,115392,1170.45,3121.21,872.08,5,12,22.1033
106089,63194,110021,71540.6,42611,110030,1544.45,4501.89,1211.76,6,12,22.403
102284,61717,108613,45997.1,27466,109753,534.65,5962.81,1490.72,7,12,22.699
104309,62590,109219,58725.7,36475,105515,1509.6,3305.09,987.36,8,12,23.0368
113640,60936,122218,60045.4,31335,125583,518.5,3735.53,991.76,9,12,23.3139
89676.4,54601,107636,62229.4,36344,112213,532.95,101.133,102.96,10,12,23.5803
110735,63156,114908,79988.5,42655,122896,572.9,184.728,232.32,11,12,23.874
122874,69800,115368,84201.5,43344,127312,1131.35,165.298,572.88,12,12,24.1891
110183,61989,116488,83034.6,46675,116588,529.55,115.213,207.68,13,12,24.469
117521,65927,116824,84119.4,43967,125386,545.7,94.0913,310.64,14,12,24.735
96971.7,60173,105614,91539.8,54462,110153,470.05,134.581,189.2,14,11,25.0145
125279,67301,121994,87211.3,44542,128317,493,182.098,1228.48,13,11,25.2676
116289,65488,116374,70734.6,36559,126799,424.15,124.907,418.88,12,11,25.5341
87399.8,52641,108809,82398.2,46239,116786,421.6,125.787,271.04,11,11,25.8018
111028,62218,116949,91094.6,53129,112368,839.8,84.3743,439.12,10,11,26.1267
95901.9,59836,105038,50062.5,32176,101967,892.5,3373.81,924.88,9,11,26.3592
89122.8,59856,97580.1,55332.2,34350,105568,3053.2,6120.9,1480.16,8,11,26.8637
94810.8,59092,105150,51914.7,27651,123044,1799.45,3402.73,884.4,7,11,27.2594
117811,69272,111457,55129.4,29938,120681,451.35,4824.1,1114.96,6,11,27.5622
107728,64209,109955,54576.1,29175,122595,531.25,3077.29,973.28,5,11,27.8919
110081,63848,112992,89006.3,45711,127609,91.8,1669.35,452.32,4,11,28.1351
98681.4,63308,102154,62635,35417,115901,150.45,217.341,122.32,3,11,28.3883
98200.8,60481,106408,83208.3,47042,115921,44.2,2485.99,732.16,2,11,28.6504
94561.6,63943,96917.4,58299.3,38282,99804.1,127.5,865.904,249.04,1,11,28.9185
95800.5,63256,99253.5,44506.8,28602,101979,27.2,3430.24,860.64,1,10,29.2472
101733,63113,105639,59270.6,37942,102376,40.8,501.595,198.88,2,10,29.5132
91575.7,63644,94298,45909.8,31484,95564.2,138.55,1011.98,504.24,3,10,29.8399
104240,65804,103816,54126.8,32630,108711,56.95,2220.23,435.6,4,10,30.1069
81046.1,52605,100968,49642.3,29806,109151,2415.7,7066.98,1609.52,5,10,30.4427
104702,60977,112530,64953.2,37393,113839,454.75,6511.06,1595.44,6,10,30.7409
120877,68026,116453,61688.6,34319,117801,960.5,5699.64,1194.16,7,10,31.0199
131645,68181,126538,92310.4,50271,120341,707.2,4669.19,1009.36,8,10,31.3723
118901,67878,114799,72161.4,39118,120895,1955.85,5648.47,1263.68,9,10,31.7071
90373.3,59449,99626.6,64843,38287,110992,376.55,138.993,132.88,10,10,32.0073
